sourceName,objectType,system,layer,baseName,side,suffix,paren,proposedAnatomyId,polyCount,include
Abduction,MESH,,,Abduction,,,,,46,
Adduction,MESH,,,Adduction,,,,,46,
Anterior axillary line.l,MESH,,,Anterior axillary line,left,l,,,5,
Anterior axillary line.r,MESH,,,Anterior axillary line,right,r,,,5,
Anterior median line,MESH,,,Anterior median line,,,,,45,
BezierCircle',CURVE,,,BezierCircle',,,,,0,
Caudal,MESH,,,Caudal,,,,,15,
Circumduction,MESH,,,Circumduction,,,,,28,
Coronal planes,MESH,,,Coronal planes,,,,,2,
Cranial,MESH,,,Cranial,,,,,15,
Cross Section X,MESH,,,Cross Section X,,,,,0,
Cross Section Y,MESH,,,Cross Section Y,,,,,0,
Cross Section Z,MESH,,,Cross Section Z,,,,,0,
Distal,MESH,,,Distal,,,,,42,
Dorsal,MESH,,,Dorsal,,,,,63,
Dorsiflexion,MESH,,,Dorsiflexion,,,,,15,
Eversion,MESH,,,Eversion,,,,,23,
Fibular,MESH,,,Fibular,,,,,21,
Frontal,MESH,,,Frontal,,,,,15,
General terms.g,MESH,,,General terms.g,,,,,480,
HOW TO ...,MESH,,,HOW TO ...,,,,,357,
Inversion,MESH,,,Inversion,,,,,23,
Lateral rotation,MESH,,,Lateral rotation,,,,,23,
Lymph node,MESH,,,Lymph node,,,,,96,
Mamillary line.l,MESH,,,Mamillary line,left,l,,,48,
Mamillary line.r,MESH,,,Mamillary line,right,r,,,48,
Medial rotation,MESH,,,Medial rotation,,,,,23,
Median plane,MESH,,,Median plane,,,,,1,
Medulla-path,CURVE,,,Medulla-path,,,,,0,
Midclavicular line.l,MESH,,,Midclavicular line,left,l,,,116,
Midclavicular line.r,MESH,,,Midclavicular line,right,r,,,116,
Movements.g,MESH,,,Movements.g,,,,,281,
Occipital,MESH,,,Occipital,,,,,15,
Oesophagus-profile,CURVE,,,Oesophagus-profile,,,,,0,
Palmar,MESH,,,Palmar,,,,,21,
Paramedian plane,MESH,,,Paramedian plane,,,,,1,
Parasternal line.l,MESH,,,Parasternal line,left,l,,,62,
Parasternal line.r,MESH,,,Parasternal line,right,r,,,62,
Paravertebral line.l,MESH,,,Paravertebral line,left,l,,,35,
Paravertebral line.r,MESH,,,Paravertebral line,right,r,,,35,
Plantar,MESH,,,Plantar,,,,,21,
Plantar flexion,MESH,,,Plantar flexion,,,,,13,
Posterior axillary line.l,MESH,,,Posterior axillary line,left,l,,,8,
Posterior axillary line.r,MESH,,,Posterior axillary line,right,r,,,8,
Posterior median line,MESH,,,Posterior median line,,,,,50,
Pronation,MESH,,,Pronation,,,,,23,
Proximal,MESH,,,Proximal,,,,,42,
Radial,MESH,,,Radial,,,,,21,
Reference lines.g,MESH,,,Reference lines.g,,,,,484,
Reference planes.g,MESH,,,Reference planes.g,,,,,549,
Sagittal planes.j,MESH,,,Sagittal planes,,j,,,0,
Scapular line.l,MESH,,,Scapular line,left,l,,,21,
Scapular line.r,MESH,,,Scapular line,right,r,,,21,
Sternal line.l,MESH,,,Sternal line,left,l,,,22,
Sternal line.r,MESH,,,Sternal line,right,r,,,22,
Supination,MESH,,,Supination,,,,,23,
Take a picture,MESH,,,Take a picture,,,,,0,
Tibial,MESH,,,Tibial,,,,,21,
Transverse planes,MESH,,,Transverse planes,,,,,5,
Ulnar,MESH,,,Ulnar,,,,,21,
Ventral,MESH,,,Ventral,,,,,21,
Zonular fibers-curve.r,CURVE,,,Zonular fibers-curve,right,r,,,0,
Acetabular fossa.j,MESH,Skeletal system,bone,Acetabular fossa,,j,,bone.acetabularFossa,0,
Acetabular fossa.i,MESH,Skeletal system,bone,Acetabular fossa.i,,,,bone.acetabularFossaI,0,
Acetabular margin.j,MESH,Skeletal system,bone,Acetabular margin,,j,,bone.acetabularMargin,0,
Acetabular margin.i,MESH,Skeletal system,bone,Acetabular margin.i,,,,bone.acetabularMarginI,0,
Acetabular notch.j,MESH,Skeletal system,bone,Acetabular notch,,j,,bone.acetabularNotch,0,
Acetabular notch.i,MESH,Skeletal system,bone,Acetabular notch.i,,,,bone.acetabularNotchI,0,
Acetabulum.j,MESH,Skeletal system,bone,Acetabulum,,j,,bone.acetabulum,0,
Acetabulum.i,MESH,Skeletal system,bone,Acetabulum.i,,,,bone.acetabulumI,0,
Acromial angle.j,MESH,Skeletal system,bone,Acromial angle,,j,,bone.acromialAngle,0,
Acromial angle.i,MESH,Skeletal system,bone,Acromial angle.i,,,,bone.acromialAngleI,0,
Acromial end.j,MESH,Skeletal system,bone,Acromial end,,j,,bone.acromialEnd,0,
Acromial end.i,MESH,Skeletal system,bone,Acromial end.i,,,,bone.acromialEndI,0,
Acromial facet.j,MESH,Skeletal system,bone,Acromial facet,,j,,bone.acromialFacet,0,
Acromial facet.i,MESH,Skeletal system,bone,Acromial facet.i,,,,bone.acromialFacetI,0,
Acromion.j,MESH,Skeletal system,bone,Acromion,,j,,bone.acromion,0,
